Date,Description,Category,Amount
2025-09-01,Salary Deposit,Income,3388.61
2025-09-02,Rent Payment,Housing,-1403.76
2025-09-02,Grocery Run Aisle 5,Groceries,-114.37
2025-09-03,Morning Coffee,Food & Drink,-5.94
2025-09-03,Bus Pass Reload,Transport,-47.96
2025-09-04,Electric Bill,Utilities,-86.3
2025-09-04,Streaming Subscription,Entertainment,-14.86
2025-09-05,Pharmacy Visit,Health,-39.18
2025-09-05,Fitness Club,Fitness,-49.7
2025-09-06,Restaurant Night Out,Food & Drink,-60.45
2025-09-06,Freelance Invoice,Income,619.42
2025-09-07,Charity Donation,Charity,-42.75
2025-09-07,Gas Station Fill-Up,Transport,-57.69
2025-09-08,Bookstore Purchase,Education,-28.29
2025-09-08,Internet Provider,Utilities,-62.04
2025-09-09,Hardware Store,Home Improvement,-79.45
2025-09-09,Insurance Premium,Insurance,-106.76
2025-09-10,Salon Visit,Personal Care,-76.72
2025-09-10,Stock Dividend,Investment Income,45.73
2025-09-11,Lunch with Colleagues,Food & Drink,-27.71
2025-09-11,Parking Garage,Transport,-18.73
2025-09-12,Art Supplies,Entertainment,-32.76
2025-09-12,Side Gig Payment,Income,234.81
2025-09-13,Farmer's Market,Groceries,-44.23
2025-09-13,Pet Store,Pet Care,-39.46
2025-09-14,Car Wash,Transport,-13.49
2025-09-14,Online Course,Education,-94.9
2025-09-15,Savings Transfer,Savings,-367.39
2025-09-15,Mobile Phone Bill,Utilities,-68.01
2025-09-16,Tax Refund,Income,155.89
2025-09-16,Movie Night,Entertainment,-19.75
2025-09-17,Coffee Beans,Food & Drink,-18.03
2025-09-17,Yoga Studio,Fitness,-53.86
2025-09-18,Home Repair Service,Home Improvement,-209.6
2025-09-18,Office Supplies,Work Expenses,-33.98
2025-09-19,Car Maintenance,Transport,-307.54
2025-09-19,Garden Center,Home Improvement,-47.14
2025-09-20,Friend's Gift,Personal Care,-33.54
2025-09-20,Consulting Retainer,Income,566.62
2025-09-21,Restaurant Brunch,Food & Drink,-48.36
2025-09-21,Pharmacy Refill,Health,-27.43
2025-09-22,Electric Scooter Charge,Transport,-8.63
2025-09-22,Cloud Storage,Utilities,-9.44
2025-09-23,Book Club Snacks,Entertainment,-15.79
2025-09-23,Childcare Fee,Family,-233.08
2025-09-24,Water Bill,Utilities,-41.72
2025-09-24,Freelance Bonus,Income,119.39
2025-09-25,Cooking Class,Education,-97.38
2025-09-25,Veterinary Checkup,Pet Care,-120.7
2025-09-26,Concert Tickets,Entertainment,-144.74
2025-09-26,Bike Repair,Transport,-57.6
2025-09-27,Weekend Groceries,Groceries,-145.42
2025-09-27,Farmer's Market Stall,Side Business,185.57
2025-09-28,Home Insurance,Insurance,-116.55
2025-09-28,Donation Drive,Charity,-57.17
2025-09-29,Public Transit,Transport,-22.12
2025-09-29,Co-Working Space,Work Expenses,-82.88
2025-09-30,Interest Earned,Investment Income,13.44
2025-09-30,End-of-Month Savings,Savings,-500.69
2025-10-01,Salary Deposit,Income,3210.01
2025-10-02,Rent Payment,Housing,-1576.19
2025-10-02,Grocery Run Aisle 5,Groceries,-127.79
