Date,Description,Category,Amount
2025-09-01,Salary Deposit,Income,3716.94
2025-09-02,Rent Payment,Housing,-1556.08
2025-09-02,Grocery Run Aisle 5,Groceries,-106.34
2025-09-03,Morning Coffee,Food & Drink,-6.36
2025-09-03,Bus Pass Reload,Transport,-37.84
2025-09-04,Electric Bill,Utilities,-83.88
2025-09-04,Streaming Subscription,Entertainment,-12.89
2025-09-05,Pharmacy Visit,Health,-38.96
2025-09-05,Fitness Club,Fitness,-54.12
2025-09-06,Restaurant Night Out,Food & Drink,-69.58
2025-09-06,Freelance Invoice,Income,751.06
2025-09-07,Charity Donation,Charity,-34.37
2025-09-07,Gas Station Fill-Up,Transport,-56.08
2025-09-08,Bookstore Purchase,Education,-29.04
2025-09-08,Internet Provider,Utilities,-71.57
2025-09-09,Hardware Store,Home Improvement,-60.44
2025-09-09,Insurance Premium,Insurance,-142.68
2025-09-10,Salon Visit,Personal Care,-83.5
2025-09-10,Stock Dividend,Investment Income,51.74
2025-09-11,Lunch with Colleagues,Food & Drink,-27.81
2025-09-11,Parking Garage,Transport,-16.72
2025-09-12,Art Supplies,Entertainment,-33.74
2025-09-12,Side Gig Payment,Income,185.61
2025-09-13,Farmer's Market,Groceries,-42.18
2025-09-13,Pet Store,Pet Care,-34.28
2025-09-14,Car Wash,Transport,-13.9
2025-09-14,Online Course,Education,-118.01
2025-09-15,Savings Transfer,Savings,-334.62
2025-09-15,Mobile Phone Bill,Utilities,-76.2
2025-09-16,Tax Refund,Income,156.96
2025-09-16,Movie Night,Entertainment,-21.36
2025-09-17,Coffee Beans,Food & Drink,-22.78
2025-09-17,Yoga Studio,Fitness,-51.09
2025-09-18,Home Repair Service,Home Improvement,-216.03
2025-09-18,Office Supplies,Work Expenses,-30.11
2025-09-19,Car Maintenance,Transport,-289.53
2025-09-19,Garden Center,Home Improvement,-56.8
2025-09-20,Friend's Gift,Personal Care,-24.05
2025-09-20,Consulting Retainer,Income,576.09
2025-09-21,Restaurant Brunch,Food & Drink,-56.79
2025-09-21,Pharmacy Refill,Health,-32.32
2025-09-22,Electric Scooter Charge,Transport,-12.07
2025-09-22,Cloud Storage,Utilities,-11.74
2025-09-23,Book Club Snacks,Entertainment,-13.44
2025-09-23,Childcare Fee,Family,-206.16
2025-09-24,Water Bill,Utilities,-43.69
2025-09-24,Freelance Bonus,Income,123.41
2025-09-25,Cooking Class,Education,-105.4
2025-09-25,Veterinary Checkup,Pet Care,-140.23
2025-09-26,Concert Tickets,Entertainment,-123.82
2025-09-26,Bike Repair,Transport,-72.42
2025-09-27,Weekend Groceries,Groceries,-146.65
2025-09-27,Farmer's Market Stall,Side Business,224.93
2025-09-28,Home Insurance,Insurance,-116.98
2025-09-28,Donation Drive,Charity,-67.73
2025-09-29,Public Transit,Transport,-27.21
2025-09-29,Co-Working Space,Work Expenses,-78.0
2025-09-30,Interest Earned,Investment Income,11.12
2025-09-30,End-of-Month Savings,Savings,-501.45
2025-10-01,Salary Deposit,Income,3855.29
2025-10-02,Rent Payment,Housing,-1817.73
2025-10-02,Grocery Run Aisle 5,Groceries,-117.18
2025-10-03,Morning Coffee,Food & Drink,-7.19
2025-10-03,Bus Pass Reload,Transport,-50.67
2025-10-04,Electric Bill,Utilities,-71.5
2025-10-04,Streaming Subscription,Entertainment,-14.63
2025-10-05,Pharmacy Visit,Health,-39.41
2025-10-05,Fitness Club,Fitness,-61.47
2025-10-06,Restaurant Night Out,Food & Drink,-70.84
2025-10-06,Freelance Invoice,Income,577.77
2025-10-07,Charity Donation,Charity,-49.08
2025-10-07,Gas Station Fill-Up,Transport,-69.72
2025-10-08,Bookstore Purchase,Education,-32.67
2025-10-08,Internet Provider,Utilities,-74.92
2025-10-09,Hardware Store,Home Improvement,-92.61
