Date,Description,Category,Amount
2025-09-01,Salary Deposit,Income,3200.00
2025-09-02,Rent Payment,Housing,-1500.00
2025-09-02,Grocery Run Aisle 5,Groceries,-124.58
2025-09-03,Morning Coffee,Food & Drink,-5.85
2025-09-03,Bus Pass Reload,Transport,-45.00
2025-09-04,Electric Bill,Utilities,-88.34
2025-09-04,Streaming Subscription,Entertainment,-12.99
2025-09-05,Pharmacy Visit,Health,-37.12
2025-09-05,Fitness Club,Fitness,-49.99
2025-09-06,Restaurant Night Out,Food & Drink,-62.47
2025-09-06,Freelance Invoice,Income,650.00
2025-09-07,Charity Donation,Charity,-40.00
2025-09-07,Gas Station Fill-Up,Transport,-58.77
2025-09-08,Bookstore Purchase,Education,-32.60
2025-09-08,Internet Provider,Utilities,-64.00
2025-09-09,Hardware Store,Home Improvement,-74.16
2025-09-09,Insurance Premium,Insurance,-118.00
2025-09-10,Salon Visit,Personal Care,-85.00
2025-09-10,Stock Dividend,Investment Income,45.30
2025-09-11,Lunch with Colleagues,Food & Drink,-27.45
2025-09-11,Parking Garage,Transport,-18.00
2025-09-12,Art Supplies,Entertainment,-29.65
2025-09-12,Side Gig Payment,Income,220.00
2025-09-13,Farmer's Market,Groceries,-42.80
2025-09-13,Pet Store,Pet Care,-36.99
2025-09-14,Car Wash,Transport,-14.25
2025-09-14,Online Course,Education,-99.00
2025-09-15,Savings Transfer,Savings,-400.00
2025-09-15,Mobile Phone Bill,Utilities,-72.50
2025-09-16,Tax Refund,Income,150.00
2025-09-16,Movie Night,Entertainment,-22.50
2025-09-17,Coffee Beans,Food & Drink,-18.40
2025-09-17,Yoga Studio,Fitness,-55.00
2025-09-18,Home Repair Service,Home Improvement,-210.00
2025-09-18,Office Supplies,Work Expenses,-34.75
2025-09-19,Car Maintenance,Transport,-325.90
2025-09-19,Garden Center,Home Improvement,-48.20
2025-09-20,Friend's Gift,Personal Care,-30.00
2025-09-20,Consulting Retainer,Income,500.00
2025-09-21,Restaurant Brunch,Food & Drink,-48.33
2025-09-21,Pharmacy Refill,Health,-26.45
2025-09-22,Electric Scooter Charge,Transport,-9.75
2025-09-22,Cloud Storage,Utilities,-9.99
2025-09-23,Book Club Snacks,Entertainment,-16.20
2025-09-23,Childcare Fee,Family,-210.00
2025-09-24,Water Bill,Utilities,-45.10
2025-09-24,Freelance Bonus,Income,120.00
2025-09-25,Cooking Class,Education,-85.00
2025-09-25,Veterinary Checkup,Pet Care,-120.00
2025-09-26,Concert Tickets,Entertainment,-140.00
2025-09-26,Bike Repair,Transport,-65.00
2025-09-27,Weekend Groceries,Groceries,-132.45
2025-09-27,Farmer's Market Stall,Side Business,180.00
2025-09-28,Home Insurance,Insurance,-115.00
2025-09-28,Donation Drive,Charity,-60.00
2025-09-29,Public Transit,Transport,-23.50
2025-09-29,Co-Working Space,Work Expenses,-85.00
2025-09-30,Interest Earned,Investment Income,12.75
2025-09-30,End-of-Month Savings,Savings,-450.00
