Date,Description,Category,Amount
2025-10-01,Salary Deposit,Income,3039.41
2025-10-02,Rent Payment,Housing,-1770.43
2025-10-02,Grocery Run Aisle 5,Groceries,-136.14
2025-10-03,Morning Coffee,Food & Drink,-6.08
2025-10-03,Bus Pass Reload,Transport,-38.81
2025-10-04,Electric Bill,Utilities,-76.18
2025-10-04,Streaming Subscription,Entertainment,-10.69
2025-10-05,Pharmacy Visit,Health,-42.56
2025-10-05,Fitness Club,Fitness,-52.01
2025-10-06,Restaurant Night Out,Food & Drink,-67.67
2025-10-06,Freelance Invoice,Income,525.35
2025-10-07,Charity Donation,Charity,-47.52
2025-10-07,Gas Station Fill-Up,Transport,-66.59
2025-10-08,Bookstore Purchase,Education,-28.85
2025-10-08,Internet Provider,Utilities,-55.85
2025-10-09,Hardware Store,Home Improvement,-64.77
2025-10-09,Insurance Premium,Insurance,-108.76
2025-10-10,Salon Visit,Personal Care,-85.84
2025-10-10,Stock Dividend,Investment Income,44.07
2025-10-11,Lunch with Colleagues,Food & Drink,-25.16
2025-10-11,Parking Garage,Transport,-18.81
2025-10-12,Art Supplies,Entertainment,-25.37
2025-10-12,Side Gig Payment,Income,201.71
2025-10-13,Farmer's Market,Groceries,-40.51
2025-10-13,Pet Store,Pet Care,-36.34
2025-10-14,Car Wash,Transport,-15.88
2025-10-14,Online Course,Education,-87.11
2025-10-15,Savings Transfer,Savings,-402.28
2025-10-15,Mobile Phone Bill,Utilities,-75.18
2025-10-16,Tax Refund,Income,122.79
2025-10-16,Movie Night,Entertainment,-23.47
2025-10-17,Coffee Beans,Food & Drink,-15.98
2025-10-17,Yoga Studio,Fitness,-45.43
2025-10-18,Home Repair Service,Home Improvement,-247.71
2025-10-18,Office Supplies,Work Expenses,-41.22
2025-10-19,Car Maintenance,Transport,-366.1
2025-10-19,Garden Center,Home Improvement,-44.43
2025-10-20,Friend's Gift,Personal Care,-25.17
2025-10-20,Consulting Retainer,Income,536.85
2025-10-21,Restaurant Brunch,Food & Drink,-47.17
2025-10-21,Pharmacy Refill,Health,-22.45
2025-10-22,Electric Scooter Charge,Transport,-9.73
2025-10-22,Cloud Storage,Utilities,-8.13
2025-10-23,Book Club Snacks,Entertainment,-18.85
2025-10-23,Childcare Fee,Family,-189.74
2025-10-24,Water Bill,Utilities,-48.03
2025-10-24,Freelance Bonus,Income,110.96
2025-10-25,Cooking Class,Education,-85.68
2025-10-25,Veterinary Checkup,Pet Care,-122.24
2025-10-26,Concert Tickets,Entertainment,-122.35
2025-10-26,Bike Repair,Transport,-77.21
2025-10-27,Weekend Groceries,Groceries,-147.03
2025-10-27,Farmer's Market Stall,Side Business,211.64
2025-10-28,Home Insurance,Insurance,-133.16
2025-10-28,Donation Drive,Charity,-62.35
2025-10-29,Public Transit,Transport,-27.47
2025-10-29,Co-Working Space,Work Expenses,-71.01
2025-10-30,Interest Earned,Investment Income,11.2
2025-10-30,End-of-Month Savings,Savings,-368.14
